[rosmaster.main][INFO] 2023-06-29 19:33:24,348: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-06-29 19:33:24,348: Starting ROS Master Node
[xmlrpc][INFO] 2023-06-29 19:33:24,350: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-06-29 19:33:24,350: Started XML-RPC server [http://1befdf600173:11311/]
[xmlrpc][INFO] 2023-06-29 19:33:24,350: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-06-29 19:33:24,350: Master initialized: port[11311], uri[http://1befdf600173:11311/]
[rosmaster.master][INFO] 2023-06-29 19:33:24,403: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,405: +PARAM [/roslaunch/uris/host_1befdf600173__43407] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,453: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/turtlebot3_slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/turtlebot3_slam_gmapping/maxUrange] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/turtlebot3_slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,454: +PARAM [/turtlebot3_slam_gmapping/kernelSize] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/lstep] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/astep] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/iterations] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/lsigma] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/minimumScore] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/srr] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/srt] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/str] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/stt] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/linearUpdate] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/angularUpdate] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/temporalUpdate] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/resampleThreshold] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/particles] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/xmin] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/ymin] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/xmax] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/ymax] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,455: +PARAM [/turtlebot3_slam_gmapping/delta] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/llsamplerange] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/llsamplestep] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/lasamplerange] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/lasamplestep] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/base_frame] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/turtlebot3_slam_gmapping/map_frame] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,456: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,457: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:33:24,607: +SERVICE [/rosout/get_loggers] /rosout http://1befdf600173:35371/
[rosmaster.master][INFO] 2023-06-29 19:33:24,620: +SERVICE [/rosout/set_logger_level] /rosout http://1befdf600173:35371/
[rosmaster.master][INFO] 2023-06-29 19:33:24,634: +SUB [/clock] /rosout http://1befdf600173:35371/
[rosmaster.master][INFO] 2023-06-29 19:33:24,635: +PUB [/rosout_agg] /rosout http://1befdf600173:35371/
[rosmaster.master][INFO] 2023-06-29 19:33:24,666: +SUB [/rosout] /rosout http://1befdf600173:35371/
[rosmaster.master][INFO] 2023-06-29 19:33:24,996: +PUB [/rosout] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,002: +SERVICE [/turtlebot3_slam_gmapping/get_loggers] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,003: +SERVICE [/turtlebot3_slam_gmapping/set_logger_level] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,006: +PUB [/rosout] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,008: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,018: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,048: +SUB [/clock] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,077: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/']
[rosmaster.master][INFO] 2023-06-29 19:33:25,079: +PUB [/tf] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,091: +SUB [/clock] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,094: +PUB [/tf_static] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,100: +SUB [/joint_states] /robot_state_publisher http://1befdf600173:34301/
[rosmaster.master][INFO] 2023-06-29 19:33:25,104: +PUB [/rosout] /tf2_web_republisher http://1befdf600173:36199/
[rosmaster.master][INFO] 2023-06-29 19:33:25,115: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://1befdf600173:36199/
[rosmaster.master][INFO] 2023-06-29 19:33:25,115: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://1befdf600173:36199/
[rosmaster.master][INFO] 2023-06-29 19:33:25,120: +SUB [/tf] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,121: +SUB [/clock] /tf2_web_republisher http://1befdf600173:36199/
[rosmaster.master][INFO] 2023-06-29 19:33:25,126: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/']: sec=0.05, result=[1, '', 0]
[rosmaster.master][INFO] 2023-06-29 19:33:25,136: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/', 'http://1befdf600173:34301/']
[rosmaster.master][INFO] 2023-06-29 19:33:25,143: +SUB [/tf_static] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,145: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/', 'http://1befdf600173:34301/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2023-06-29 19:33:25,146: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/', 'http://1befdf600173:34301/', 'http://1befdf600173:36199/']
[rosmaster.master][INFO] 2023-06-29 19:33:25,145: +PUB [/tf] /turtlebot3_slam_gmapping http://1befdf600173:45751/
[rosmaster.master][INFO] 2023-06-29 19:33:25,153: publisherUpdate[/rosout] -> http://1befdf600173:35371/ ['http://1befdf600173:45751/', 'http://1befdf600173:34301/', 'http://1befdf600173:36199/']: sec=0.01, result=[1, '', 0]
