[rosmaster.main][INFO] 2023-06-29 19:34:30,965: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-06-29 19:34:30,965: Starting ROS Master Node
[xmlrpc][INFO] 2023-06-29 19:34:30,967: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-06-29 19:34:30,967: Started XML-RPC server [http://1befdf600173:11311/]
[xmlrpc][INFO] 2023-06-29 19:34:30,968: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-06-29 19:34:30,968: Master initialized: port[11311], uri[http://1befdf600173:11311/]
[rosmaster.master][INFO] 2023-06-29 19:34:31,017: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,020: +PARAM [/roslaunch/uris/host_1befdf600173__43841] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,083: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,083: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,083: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,083: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,084: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,085: +PARAM [/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,085: +PARAM [/robot_state_publisher/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,085: +PARAM [/amcl/min_particles] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,085: +PARAM [/amcl/max_particles] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/kld_err] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/update_min_d] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/update_min_a] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/resample_interval] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,086: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/recovery_alpha_fast] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/initial_pose_a] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/laser_max_range] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,087: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,088: +PARAM [/amcl/laser_z_hit] by /roslaunch
[rosmaster.master][INFO] 2023-06-29 19:34:31,088: +PARAM [/amcl/laser_z_short] by /roslaunch
